instance_id,class
"3862_4",0
"674_10",0
"8828_10",1
"2963_8",1
"2483_1",0
"9159_1",0
"1073_2",0
"6684_1",1
"5923_7",0
"6352_2",0
"9919_9",0
"9407_4",1
"5561_3",0
"2093_3",1
"6668_2",0
"5215_2",0
"8561_3",0
"6488_10",0
"1945_8",0
"6712_2",0
"7986_4",1
"1269_2",0
"8146_10",0
"8560_1",1
"7747_1",0
"8420_9",1
"2475_3",0
"5466_8",1
"2386_8",1
"8059_10",1
"793_2",0
"6326_10",1
"6742_4",1
"4391_8",1
"10517_8",1
"10009_1",0
"2860_9",1
"359_8",0
"2469_10",1
"8962_9",0
"4297_1",0
"2341_8",0
"820_10",0
"8721_1",1
"1806_4",0
"5209_8",1
"8388_1",0
"1213_10",0
"5278_7",1
"3625_2",0
"1937_10",0
"4095_8",1
"6804_1",0
"9596_1",0
"8178_8",1
"10774_8",1
"154_8",1
"5309_1",0
"8411_7",1
"9909_7",1
"1005_3",0
"4712_7",1
"7088_1",0
"2992_7",0
"3971_8",0
"9476_4",1
"2344_9",1
"9283_8",1
"3849_4",1
"11415_8",1
"8647_1",1
"6777_4",1
"504_8",1
"5661_2",0
"12209_7",1
"583_8",0
"6467_7",1
"5882_1",1
"10002_1",0
"9750_10",1
"7790_9",1
"2222_10",1
"9326_2",0
"5224_10",0
"10617_8",1
"11021_1",0
"4297_9",0
"10383_2",0
"7224_8",1
"9743_1",1
"5823_10",1
"244_4",1
"10251_10",0
"3113_1",1
"5605_7",0
"6955_1",0
"12262_3",0
"9977_4",1
"8143_10",0
"11996_1",0
"3636_8",0
"2761_1",0
"11312_9",0
"6479_10",1
"7837_4",1
"8338_3",0
"1045_8",1
"6539_1",0
"3955_1",0
"11891_9",0
"7387_7",0
"12253_9",1
"10852_10",0
"8845_3",0
"9964_10",1
"352_10",1
"959_4",1
"10975_3",1
"966_2",0
"7924_9",0
"9400_8",0
"7732_4",1
"4722_1",0
"11726_9",0
"377_1",1
